truth_family,model_id,forecast_day,cluster_count,finite_forecast_count,unavailable_forecast_count,mean_absolute_error_pp_among_finite,median_absolute_error_pp_among_finite,p90_absolute_error_pp_among_finite,mean_noisy_absolute_error_pp_among_finite,median_noisy_absolute_error_pp_among_finite
__all__,candidate,1095.75,1000,1000,0,0.3586609926170366,0.25730694084349892,0.85372306058597192,0.33836755791946593,0.22949064658080687
__all__,candidate,1461,1000,1000,0,0.58362262027355249,0.37728811225950665,1.450446439469711,0.58551835626544646,0.39375712453336575
__all__,candidate,1826.25,1000,1000,0,0.83826271255065932,0.52195180941111374,2.1375749662929451,0.84767974296546622,0.51333239754237781
__all__,candidate,2556.75,1000,1000,0,1.4175657588592279,0.82010333428195281,3.6230121348908542,1.4330430660566813,0.84041364661132434
__all__,candidate,3652.5,1000,1000,0,2.4339986019400355,1.3718612246360138,6.3758963748020161,2.4536849310850131,1.4118066167379908
__all__,candidate,5478.75,1000,1000,0,4.4375220488608864,2.4620315363118763,11.662150945817325,4.4574400679502268,2.4329432189879086
__all__,candidate,7305,1000,1000,0,6.7814107000892214,3.6867915726709981,17.964959477267755,6.8025939386670471,3.6908510876184337
__all__,candidate,9131.25,1000,1000,0,9.3738916593536032,4.9437282034265309,24.220249513410494,9.3924761384456446,4.950196882172726
__all__,target_prefix_bounded_power_law,1095.75,1000,1000,0,0.358480761970353,0.25519578114435859,0.83661732352722595,0.34343844112931238,0.23009426405524636
__all__,target_prefix_bounded_power_law,1461,1000,1000,0,0.58463151703220873,0.37882002059278364,1.4329369611072682,0.59312261847740178,0.40203174251357865
__all__,target_prefix_bounded_power_law,1826.25,1000,1000,0,0.84179271417436374,0.53312100648837202,2.1105366117725772,0.85606074941588461,0.53237503337400227
__all__,target_prefix_bounded_power_law,2556.75,1000,1000,0,1.4284654989155114,0.85582321024386232,3.6207171218131564,1.448650323986451,0.87707272555272908
__all__,target_prefix_bounded_power_law,3652.5,1000,1000,0,2.4598868358600985,1.4522404282772357,6.3598045306311626,2.4859965552792933,1.463178540672196
__all__,target_prefix_bounded_power_law,5478.75,1000,1000,0,4.5118996232491932,2.5667683218398878,11.560540005921622,4.5425499867844916,2.5789456028888011
