partition,cluster_id,truth_family,hard_eligible,primary_issued,credible_structure_family_count,disagreement_score_pp,candidate_endpoint_absolute_error_pp,candidate_trajectory_iae_pp,catastrophic_error
audit,c_007c5469e0202f163a26d51fe56425dd,single_power,True,False,5,39.019051419293881,5.3290826507782185,2.4883610583261992,True
audit,c_00acef5aa5d8286ebf76233ecf123b20,early_activation_plus_power,True,False,5,39.975889444487215,6.5600796730597608,3.6310230564667436,True
audit,c_016c49fa50a5865a0fe8e07e4825fcd9,saturating_plus_slow,True,True,4,25.594508069765915,29.995859948863,14.821756501283186,True
audit,c_017ded3396ede44264965ff07629030e,late_knee,True,True,4,32.510247357768307,12.290255632643095,4.4643090341069982,True
audit,c_01de08b1d1895c78cdf51585efa92db8,single_power,True,True,5,32.699279095681035,0.89574916401109306,0.61701426453623009,False
audit,c_02750b806f7e03f64d4937c14ad4a4d1,dual_power,True,True,5,33.022954391068332,1.7951558603779887,0.54211845293255068,False
audit,c_028ba0daa685de3d645c4dd91a72edb6,early_activation_plus_power,False,False,0,inf,29.729587710621615,12.953979496959796,True
audit,c_03a2f6cdc59bd959ec1ed375c659ef8e,late_knee,True,True,4,32.141997258590862,2.3378473216075975,1.5265841644383855,False
audit,c_048268b3529b2b7911850f7dbeca8898,late_knee,True,False,5,42.049775847906595,5.4350011539412293,2.606837700262389,True
audit,c_053e979ca83c708e5be4da309a232b89,late_knee,True,True,5,35.179345908523821,8.6060692821402114,3.6844009386905778,True
audit,c_05b4409274b2b1a80419a9d58f7121e8,single_power,True,True,5,32.80031586198195,2.3321780283574327,1.2548854331629757,False
audit,c_05d277cf738c7fd6ecd3a6d0701c97cb,single_power,True,True,5,32.141993705012823,0.086825659746438077,0.4569375616303572,False
audit,c_05e3ed5da8fde4cbf171d8d50f8e2e60,dual_power,True,True,5,32.363356754836815,1.0526937685294229,0.48194948246627917,False
audit,c_064902bd948f47c98dcb6710de77d839,dual_power,True,True,5,33.482795513493429,0.1621764770384857,0.11626377644400065,False
audit,c_0681d7a8112d8f5b8ed4e716c20f5fa3,single_power,True,True,5,33.525537278053747,0.9162238780691041,0.38888163793734393,False
audit,c_06ea275adaee3c78474a1608588c3963,late_knee,True,True,6,32.141999919210747,9.5172804739414687,3.9088775704552718,True
audit,c_070c2da479f4061e2968698980d2c166,dual_power,True,True,5,35.307016736827201,5.3884830963024228,2.349328520029315,True
audit,c_07150bf433ba0557ba7d8cbc5fa8b70c,late_knee,True,True,6,32.226943839448708,5.4277451992547441,2.8065433135067019,True
audit,c_08471bae124c38d744e5a1836e80734c,dual_power,True,True,5,33.335661406549391,2.570831300951852,1.2299856959871132,False
audit,c_08dcb85d47f5a830601b4c8aabcac900,dual_power,True,True,5,33.789904890652281,0.71251450963222851,0.33851156883546646,False
audit,c_093da2edee567a556450130fc28fac67,dual_power,True,False,5,41.264002545448385,5.5379443029505211,2.1562015004824291,True
audit,c_0a913ac1920987dfb18f603eaa979005,late_knee,True,True,5,32.141999120063886,13.264718457294776,5.9796110571946048,True
audit,c_0a9f4b28c7feb8e8ded28ce79168454b,dual_power,False,False,0,inf,2.6547492130371637,1.369363421761411,False
audit,c_0aaa4a83a51214670a47b03c1f0bf881,early_activation_plus_power,True,False,5,35.9694991983093,3.3389307393843382,1.7905625268243262,False
audit,c_0ab8d5cae4cf51171eacdc958055605b,late_knee,True,True,4,32.881968448738192,12.834187360266156,5.2421636224720247,True
audit,c_0c78ed7fb66f914d971423df2eb5307c,early_activation_plus_power,True,False,5,36.705543829381376,2.4076584217251877,0.99981641923161158,False
audit,c_0cd549e60c02b82acd89cc5c75d317d1,early_activation_plus_power,False,False,0,inf,11.865711240216811,5.9255257733582507,True
audit,c_0cf29cb2ddbe176918fed13a27fc9e2c,dual_power,True,False,5,37.361964201091233,2.8973636380488159,1.6184864733233801,False
audit,c_0d742044b6963d099c48916790e93055,late_knee,True,True,4,32.706527429488361,1.2082220206691403,0.51144012769675529,False
audit,c_0eec2733c2f7b88e7097c302d4df01b0,dual_power,True,False,5,37.431213125548815,0.24870097709684558,0.15081676531683869,False
audit,c_0ffbaa2576463e6233bbc92af79c54cd,saturating_plus_slow,False,False,1,inf,5.7947357380918447,3.7450561427101174,True
audit,c_105da9b78c70f66b4fc6797f11579048,single_power,True,True,5,32.141998353293047,1.9817069903148621,0.93206484645613541,False
audit,c_115a38050d44a7b4cd76e4a164f7af05,single_power,True,True,5,32.141998880025895,1.8391261434004349,0.86646291873639958,False
audit,c_11b2cb4fe7d312bb97eacc46714837cb,early_activation_plus_power,False,False,0,inf,22.180087136339338,10.946515972202972,True
audit,c_1220ed16028fc799753c00ae6029ad8e,early_activation_plus_power,False,False,0,inf,24.173764756614517,10.551154350222003,True
audit,c_12aa2ce50e91f547ec390aa21c899875,saturating_plus_slow,False,False,1,inf,4.0374653958923403,2.7034386915924369,False
audit,c_12f6bec12602d4d1226afeb1474b0c45,saturating_plus_slow,False,False,1,inf,2.905251765171954,2.1158544449863497,False
audit,c_13a5d41f99cb0a24e11ca3c5e8c76ff4,late_knee,True,True,5,32.299553453673312,2.2188572161420552,0.59238248707412788,False
audit,c_147443cd8d14c0b18c6d38b20f3b2e3d,early_activation_plus_power,True,True,5,32.453828635174993,1.3316997308695449,0.75381955174723836,False
audit,c_1474d2c79c9da3ab71a3ea60634770c6,saturating_plus_slow,True,True,5,33.692748479405722,0.50512731104672071,0.19854652521435831,False
audit,c_15b19f1c57a9823126f20b242065fe34,late_knee,True,True,5,32.627369811316385,8.1216947832674151,3.7691561581905328,True
audit,c_161f8b0ceb26ff8345dcb58172c29146,dual_power,True,True,5,32.956290982882166,8.5329173034534023,3.7868392802521589,True
audit,c_164accd48f554de86e6cd3314b15b927,late_knee,True,False,5,36.702902226559381,1.823530951388264,0.67964529144851082,False
audit,c_16beb41ae929d1aef5fed449a2e1de85,saturating_plus_slow,False,False,1,inf,5.8368073986027156,3.8078542557468382,True
audit,c_17346689320d8280062fa98aaf559dbb,dual_power,True,True,5,33.53137273268068,0.6042987215840725,0.40047610083772189,False
