protocol_id,partition,cluster_id,canonical_prefix_content_sha256,credible_structure_family_count,fit_failure_count,best_prefix_rmse_pp,disagreement_score_pp,hard_eligible,primary_issuance_rank,primary_issued,abstention_reasons
synthetic_long_horizon_identifiability_v1,audit,c_007c5469e0202f163a26d51fe56425dd,4c60f9864c2c9981f6c625a947ba8a359e03e8929dac9abe28eca91191df776c,5,0,0.11458906209774354,39.019051419293881,True,306,False,ranked_above_issuance_quota
synthetic_long_horizon_identifiability_v1,audit,c_00acef5aa5d8286ebf76233ecf123b20,4e047c387798e353e4af2243a6282f2adedd185b7721b8c0dc4fc4a8e2594bed,5,0,0.12226282042236881,39.975889444487215,True,316,False,ranked_above_issuance_quota
synthetic_long_horizon_identifiability_v1,audit,c_016c49fa50a5865a0fe8e07e4825fcd9,5d836ea5570090f7a77b6d37273425734ff1278bddc517acc468e553297e437e,4,0,0.10664309644035469,25.594508069765915,True,1,True,
synthetic_long_horizon_identifiability_v1,audit,c_017ded3396ede44264965ff07629030e,31261d66825d91c0373bd1bee48c1c5d87c32f93c86548ed8d71de8c51950a1f,4,0,0.12649988046949293,32.510247357768307,True,117,True,
synthetic_long_horizon_identifiability_v1,audit,c_01de08b1d1895c78cdf51585efa92db8,5789f7b6b89806786388ceead6eef18c95db66d397088757322b9bda91263bd6,5,0,0.086885048110988516,32.699279095681035,True,131,True,
synthetic_long_horizon_identifiability_v1,audit,c_02750b806f7e03f64d4937c14ad4a4d1,2a0bd473c57422b38e8ea22417de0c3e246ac3c676ef8a1891f525a3d71ad320,5,0,0.1502632336511637,33.022954391068332,True,160,True,
synthetic_long_horizon_identifiability_v1,audit,c_028ba0daa685de3d645c4dd91a72edb6,cc2f90e302b923fe2bde0078a2a3d065b4fbf1fe3740dd92966fd7c9e3809c87,0,0,0.3033120854840452,inf,False,,False,fewer_than_two_credible_structure_families;nonfinite_disagreement
synthetic_long_horizon_identifiability_v1,audit,c_03a2f6cdc59bd959ec1ed375c659ef8e,5ec1bd1766c31529be6a9336d14cff5ef161bccd45155cfa02b92290f2210ec7,4,0,0.16666769816375099,32.141997258590862,True,19,True,
synthetic_long_horizon_identifiability_v1,audit,c_048268b3529b2b7911850f7dbeca8898,93791f652bb70fe30ce301d8e0540f1b35b1e7ff6cb5eb923c35dc5844873c3b,5,0,0.13600618875217077,42.049775847906595,True,327,False,ranked_above_issuance_quota
synthetic_long_horizon_identifiability_v1,audit,c_053e979ca83c708e5be4da309a232b89,55f4c55621cb3f855f5507f4ca49390e50570fa18bd7e542e1b7d05d52117365,5,0,0.026484501927696882,35.179345908523821,True,241,True,
synthetic_long_horizon_identifiability_v1,audit,c_05b4409274b2b1a80419a9d58f7121e8,c502fb884da2c145051d5bc03d5f54c0cb9390167048d95437a3e91930b49884,5,0,0.038007125262613302,32.80031586198195,True,141,True,
synthetic_long_horizon_identifiability_v1,audit,c_05d277cf738c7fd6ecd3a6d0701c97cb,6194a7e745263d5377734cb02d9f8b2b928765dccc6215f370411b004a7a1e1f,5,0,0.072692351532255672,32.141993705012823,True,10,True,
synthetic_long_horizon_identifiability_v1,audit,c_05e3ed5da8fde4cbf171d8d50f8e2e60,78746f4ed9fba7d158adbda10d539aa5891a3e12b9b3e31056712e47a7f262a3,5,0,0.068739065037158584,32.363356754836815,True,104,True,
synthetic_long_horizon_identifiability_v1,audit,c_064902bd948f47c98dcb6710de77d839,946e1dac5b189cca88bde8d47e8f21431493dc74199b80e0c0858c22aac239b9,5,0,0.066685901338917233,33.482795513493429,True,190,True,
synthetic_long_horizon_identifiability_v1,audit,c_0681d7a8112d8f5b8ed4e716c20f5fa3,9c5fc1f36b5c6932af24b8abbf4817c0439b8bf26873e05e2e039958d56c0fb2,5,0,0.15149959554644157,33.525537278053747,True,195,True,
