cell_id,previous_prefix_cycle,current_prefix_cycle,selected_gate_id,selected_correction_candidate_id,selection_fit_cell_count,activated,base_trajectory_mae_pp,updated_trajectory_mae_pp,raw_delta_mae_pp,gated_delta_mae_pp,projected_history_change_pp,absolute_spearman_monotonicity,slope_sign_agreement
MATR_B1C1,20,40,no_update,,40,False,0.054112707891970153,0.054112707891970153,0.049118832022161198,0,0.213441325690719,0.99398496240601497,True
MATR_B1C11,20,40,no_update,,40,False,0.023925809845938336,0.023925809845938336,-0.0029127422992842773,0,0.016121435165518484,0.29774436090225564,False
MATR_B1C15,20,40,no_update,,40,False,0.046576300973382535,0.046576300973382535,-0.0023460753764310352,0,0.066898061476976203,0.96090225563909759,True
MATR_B1C17,20,40,no_update,,40,False,0.061634811446641069,0.061634811446641069,0.003246686035322896,0,0.026711025293479906,0.5473684210526315,True
MATR_B1C19,20,40,no_update,,40,False,0.1632143929298982,0.1632143929298982,-0.0059719134119496087,0,0.0098153959612308946,0.31879699248120297,False
MATR_B1C21,20,40,no_update,,40,False,0.7813178443782981,0.7813178443782981,-0.041861604461674085,0,0.064318108474721053,0.92781954887218043,True
MATR_B1C24,20,40,no_update,,40,False,0.15115222009104687,0.15115222009104687,0.013990011716528278,0,0.021471005526812803,0.47518796992481205,True
MATR_B1C26,20,40,no_update,,40,False,0.037496072690160309,0.037496072690160309,0.0063733989145271439,0,0.023822542683581735,0.62556390977443599,True
MATR_B1C28,20,40,no_update,,40,False,0.13012792097045658,0.13012792097045658,-0.015701877834563199,0,0.024349804586582501,0.52481203007518795,True
MATR_B1C3,20,40,no_update,,40,False,0.068842839939948205,0.068842839939948205,-0.012145687500219049,0,0.018614080460103821,0.38195488721804516,False
MATR_B1C30,20,40,no_update,,40,False,0.0230918077703029,0.0230918077703029,-0.0014112631122926607,0,0.011828871698708911,0.48721804511278188,False
MATR_B1C32,20,40,no_update,,40,False,0.013889397497037837,0.013889397497037837,0.00084976942507440818,0,0.0042443173926519267,0.23609022556390977,True
MATR_B1C34,20,40,no_update,,40,False,0.1221616770839616,0.1221616770839616,-0.00051962864942069198,0,0.000828957226956343,0.015037593984962403,False
MATR_B1C36,20,40,no_update,,40,False,0.022724628881940299,0.022724628881940299,5.2410806297149837e-05,0,0.0026198854854631764,0.2857142857142857,True
MATR_B1C38,20,40,no_update,,40,False,0.090380813098921653,0.090380813098921653,0.0054189926918014469,0,0.0087475820057316047,0.30827067669172931,True
MATR_B1C40,20,40,no_update,,40,False,0.037844062667159103,0.037844062667159103,0.00085841223163389546,0,0.019072758425735969,0.30375939849624062,True
MATR_B1C42,20,40,no_update,,40,False,0.036461434999464727,0.036461434999464727,0.0076691591144941382,0,0.022804487959704869,0.45413533834586461,True
MATR_B1C44,20,40,no_update,,40,False,0.30678699357773653,0.30678699357773653,0.050397528780367462,0,0.078348386963327243,0.97443609022556377,True
MATR_B1C5,20,40,no_update,,40,False,0.070616235078299144,0.070616235078299144,-0.012597833728268663,0,0.019560685394743871,0.46466165413533839,True
MATR_B1C7,20,40,no_update,,40,False,0.025319013214136387,0.025319013214136387,0.0013856133514485447,0,0.050450709312916439,0.76842105263157878,True
MATR_B2C0,20,40,no_update,,40,False,4.3656367308626383,4.3656367308626383,-0.11214142457236154,0,0.17319138930094508,0.66315789473684206,True
MATR_B2C11,20,40,no_update,,40,False,0.21402706285380257,0.21402706285380257,-0.0097347280111090562,0,0.021526629262106883,0.50827067669172921,True
MATR_B2C13,20,40,no_update,,40,False,0.21702834990084788,0.21702834990084788,0.020956909404512392,0,0.062529814630358199,0.93082706766917267,True
