dataset_id,condition_id,cell_id,test_id,source_cell_id,temperature_c,storage_soc_fraction,elapsed_time_s,elapsed_hours,elapsed_days,checkup_index,capacity_ah,capacity_retention_pct,capacity_loss_pct,resistance_dc_ohm,resistance_growth_pct,resistance_dc_pulse_duration_s,resistance_dc_soc_pct,nominal_capacity_ah,physical_replicates_aggregated,replicate_semantics,statistical_unit,evidence_role,source_doi,source_url,source_license,source_license_url
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,0,0,0,0,3.00315379838508,100,0,0.033460771873626907,0,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,577188,160.33000000000001,6.6804166666666669,1,2.9984333774710401,99.842817876441146,0.15718212355885441,0.033701776220673704,0.72025937703115162,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,997128.00000000012,276.98000000000002,11.540833333333335,2,2.9979191598447898,99.825695289295368,0.17430471070463227,0.033629601383204803,0.50455951887637962,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,1472364,408.99000000000001,17.041250000000002,3,2.9955840955657198,99.747941553195488,0.2520584468045115,0.033620047611766603,0.47600736391031351,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,2549196,708.11000000000001,29.504583333333333,4,2.9930236060455599,99.662681533494307,0.33731846650569253,0.033546878756316095,0.25733680924753255,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,3632760,1009.1,42.045833333333334,5,2.9894240526446301,99.542822423952018,0.45717757604798237,0.033653258902208404,0.57526177013629276,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,4628160,1285.5999999999999,53.56666666666667,6,2.98652927377801,99.44643112796922,0.55356887203078031,0.033588008439605195,0.38025592015280552,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,7002000,1945,81.041666666666671,7,2.9840553936869001,99.364055057438279,0.6359449425617214,0.033534650694297605,0.22079233841263424,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,9285120,2579.1999999999998,107.46666666666667,8,2.98162262399036,99.283047894307046,0.71695210569295398,0.033578274933526699,0.3511666148753978,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
NAUMANN_LFP_CALENDAR_2021,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50,NAUMANN_CAL_T0_SOC50_TEST,"TP_0°C,50%SOC",0,0.5,11832120,3286.6999999999998,136.94583333333333,9,2.9794591070193199,99.211006396725281,0.78899360327471868,0.033535369297621104,0.22293993777529053,10,50,3,3,published_mean_of_3_physical_cells,temperature_soc_condition_mean_trajectory,public_calendar_aging_method_validation,10.17632/kxh42bfgtj.1,https://data.mendeley.com/datasets/kxh42bfgtj/1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/
