forecast_cycle,v9_effective_correction_pp
101,-0.0019385946713532899
102,-0.0038771893427065798
103,-0.0058157840140598696
104,-0.0077543786854131595
105,-0.0096929733567664503
106,-0.011631568028119739
107,-0.013570162699473028
108,-0.015508757370826319
109,-0.017447352042179606
110,-0.019385946713532901
111,-0.021324541384886188
112,-0.023263136056239479
113,-0.025201730727592769
114,-0.027140325398946057
115,-0.029078920070299347
116,-0.031017514741652638
117,-0.032956109413005925
118,-0.034894704084359213
119,-0.036833298755712507
120,-0.038771893427065801
121,-0.040710488098419081
122,-0.042649082769772376
123,-0.04458767744112567
124,-0.046526272112478957
125,-0.048464866783832244
126,-0.050403461455185539
127,-0.052342056126538826
128,-0.054280650797892113
129,-0.056219245469245407
130,-0.058157840140598695
131,-0.060096434811951982
132,-0.062035029483305276
133,-0.06397362415465857
134,-0.065912218826011851
135,-0.067850813497365145
136,-0.069789408168718425
137,-0.07172800284007172
138,-0.073666597511425014
139,-0.075605192182778308
140,-0.077543786854131602
141,-0.079482381525484896
142,-0.081420976196838163
143,-0.083359570868191457
144,-0.085298165539544751
145,-0.087236760210898046
146,-0.08917535488225134
147,-0.091113949553604634
148,-0.093052544224957914
149,-0.094991138896311209
150,-0.096929733567664489
151,-0.098868328239017783
152,-0.10080692291037108
153,-0.10274551758172437
154,-0.10468411225307765
155,-0.10662270692443095
156,-0.10856130159578423
157,-0.11049989626713752
158,-0.11243849093849081
159,-0.11437708560984411
160,-0.11631568028119739
161,-0.11825427495255068
162,-0.12019286962390396
163,-0.12213146429525726
164,-0.12407005896661055
165,-0.12600865363796385
166,-0.12794724830931714
167,-0.12988584298067041
168,-0.1318244376520237
169,-0.133763032323377
170,-0.13570162699473029
171,-0.13764022166608358
172,-0.13957881633743685
173,-0.14151741100879017
174,-0.14345600568014344
175,-0.14539460035149673
176,-0.14733319502285003
177,-0.14927178969420332
178,-0.15121038436555662
179,-0.15314897903690988
180,-0.1550875737082632
181,-0.15702616837961647
182,-0.15896476305096979
183,-0.16090335772232306
184,-0.16284195239367633
185,-0.16478054706502965
186,-0.16671914173638291
187,-0.16865773640773624
188,-0.1705963310790895
189,-0.17253492575044282
190,-0.17447352042179609
191,-0.17641211509314939
192,-0.17835070976450268
193,-0.18028930443585595
194,-0.18222789910720927
195,-0.18416649377856253
196,-0.18610508844991583
197,-0.18804368312126912
198,-0.18998227779262242
199,-0.19192087246397571
200,-0.19385946713532898
201,-0.19579806180668227
202,-0.19773665647803557
203,-0.19967525114938886
204,-0.20161384582074215
205,-0.20355244049209542
206,-0.20549103516344874
207,-0.20742962983480201
208,-0.2093682245061553
209,-0.2113068191775086
210,-0.21324541384886189
211,-0.21518400852021519
212,-0.21712260319156845
213,-0.21906119786292175
214,-0.22099979253427504
215,-0.22293838720562834
216,-0.22487698187698163
217,-0.2268155765483349
218,-0.22875417121968822
219,-0.23069276589104148
220,-0.23263136056239478
221,-0.23456995523374807
222,-0.23650854990510137
223,-0.23844714457645466
224,-0.24038573924780793
225,-0.24232433391916125
226,-0.24426292859051452
227,-0.24620152326186784
228,-0.2481401179332211
229,-0.25007871260457437
230,-0.25201730727592769
231,-0.25395590194728102
232,-0.25589449661863428
233,-0.25783309128998755
234,-0.25977168596134081
235,-0.26171028063269414
236,-0.2636488753040474
237,-0.26558746997540073
238,-0.26752606464675399
239,-0.26946465931810726
240,-0.27140325398946058
241,-0.2733418486608139
242,-0.27528044333216717
243,-0.27721903800352043
244,-0.2791576326748737
245,-0.28109622734622708
246,-0.28303482201758035
247,-0.28497341668893361
248,-0.28691201136028688
249,-0.2888506060316402
250,-0.29078920070299347
251,-0.29272779537434679
252,-0.29466639004570006
253,-0.29660498471705338
254,-0.29854357938840664
255,-0.30048217405975997
256,-0.30242076873111323
257,-0.3043593634024665
258,-0.30629795807381976
259,-0.30823655274517309
260,-0.31017514741652641
261,-0.31211374208787968
262,-0.31405233675923294
263,-0.31599093143058626
264,-0.31792952610193959
265,-0.31986812077329285
266,-0.32180671544464612
267,-0.32374531011599939
268,-0.32568390478735265
269,-0.32762249945870597
270,-0.3295610941300593
271,-0.33149968880141256
272,-0.33343828347276583
273,-0.33537687814411915
274,-0.33731547281547247
275,-0.33925406748682574
276,-0.34119266215817901
277,-0.34313125682953227
278,-0.34506985150088565
279,-0.34700844617223892
280,-0.34894704084359218
281,-0.35088563551494545
282,-0.35282423018629877
283,-0.35476282485765204
284,-0.35670141952900536
285,-0.35864001420035863
286,-0.36057860887171189
287,-0.36251720354306521
288,-0.36445579821441854
289,-0.3663943928857718
290,-0.36833298755712507
291,-0.37027158222847834
292,-0.37221017689983166
293,-0.37414877157118492
294,-0.37608736624253825
295,-0.37802596091389151
296,-0.37996455558524483
297,-0.3819031502565981
298,-0.38384174492795142
299,-0.38578033959930469
300,-0.38771893427065796
